timeStamp,detectorID,averageSpeed,100VehiclesPerHour,dayOfWeek,onerHourBefore100VehiclesPerHour
12:00:00 AM,89,62,1,Mon,n/a
12:02:00 AM,89,0,0,Mon,n/a
12:04:00 AM,89,71,3,Mon,n/a
12:06:00 AM,89,0,0,Mon,n/a
12:08:00 AM,89,63,5,Mon,n/a
12:10:00 AM,89,59,1,Mon,n/a
12:12:00 AM,89,0,0,Mon,n/a
12:14:00 AM,89,67,1,Mon,n/a
12:16:00 AM,89,62,1,Mon,n/a
12:18:00 AM,89,63,3,Mon,n/a
12:20:00 AM,89,0,0,Mon,n/a
12:22:00 AM,89,59,1,Mon,n/a
12:24:00 AM,89,70,3,Mon,n/a
12:26:00 AM,89,67,1,Mon,n/a
12:28:00 AM,89,0,0,Mon,n/a
12:30:00 AM,89,0,0,Mon,n/a
12:32:00 AM,89,55,3,Mon,n/a
12:34:00 AM,89,0,0,Mon,n/a
12:36:00 AM,89,67,1,Mon,n/a
12:38:00 AM,89,0,0,Mon,n/a
12:40:00 AM,89,67,1,Mon,n/a
12:42:00 AM,89,68,3,Mon,n/a
12:44:00 AM,89,73,3,Mon,n/a
12:46:00 AM,89,0,0,Mon,n/a
12:48:00 AM,89,71,1,Mon,n/a
12:50:00 AM,89,71,1,Mon,n/a
12:52:00 AM,89,0,0,Mon,n/a
12:54:00 AM,89,0,0,Mon,n/a
12:56:00 AM,89,0,0,Mon,n/a
12:58:00 AM,89,0,0,Mon,n/a
1:00:00 AM,89,0,0,Mon,1
1:02:00 AM,89,0,0,Mon,0
1:04:00 AM,89,67,1,Mon,3
1:06:00 AM,89,106,1,Mon,0
1:08:00 AM,89,0,0,Mon,5
1:10:00 AM,89,76,1,Mon,1
1:12:00 AM,89,62,1,Mon,0
1:14:00 AM,89,0,0,Mon,1
1:16:00 AM,89,0,0,Mon,1
1:18:00 AM,89,0,0,Mon,3
1:20:00 AM,89,0,0,Mon,0
1:22:00 AM,89,0,0,Mon,1
1:24:00 AM,89,0,0,Mon,3
1:26:00 AM,89,67,1,Mon,1
1:28:00 AM,89,71,1,Mon,0
1:30:00 AM,89,82,1,Mon,0
1:32:00 AM,89,62,1,Mon,3
1:34:00 AM,89,56,1,Mon,0
1:36:00 AM,89,0,0,Mon,1
1:38:00 AM,89,76,1,Mon,0
1:40:00 AM,89,0,0,Mon,1
1:42:00 AM,89,0,0,Mon,3
1:44:00 AM,89,65,7,Mon,3
1:46:00 AM,89,69,5,Mon,0
1:48:00 AM,89,0,0,Mon,1
1:50:00 AM,89,0,0,Mon,1
1:52:00 AM,89,0,0,Mon,0
1:54:00 AM,89,0,0,Mon,0
1:56:00 AM,89,0,0,Mon,0
1:58:00 AM,89,0,0,Mon,0
2:00:00 AM,89,0,0,Mon,0
2:02:00 AM,89,0,0,Mon,0
2:04:00 AM,89,0,0,Mon,1
2:06:00 AM,89,71,1,Mon,1
2:08:00 AM,89,0,0,Mon,0
2:10:00 AM,89,67,1,Mon,1
2:12:00 AM,89,0,0,Mon,1
2:14:00 AM,89,0,0,Mon,0
2:16:00 AM,89,0,0,Mon,0
2:18:00 AM,89,0,0,Mon,0
2:20:00 AM,89,59,1,Mon,0
2:22:00 AM,89,0,0,Mon,0
2:24:00 AM,89,0,0,Mon,0
2:26:00 AM,89,71,1,Mon,1
2:28:00 AM,89,0,0,Mon,1
2:30:00 AM,89,67,1,Mon,1
2:32:00 AM,89,97,1,Mon,1
2:34:00 AM,89,63,3,Mon,1
2:36:00 AM,89,76,1,Mon,0
2:38:00 AM,89,62,1,Mon,1
2:40:00 AM,89,71,1,Mon,0
2:42:00 AM,89,62,1,Mon,0
2:44:00 AM,89,0,0,Mon,7
2:46:00 AM,89,0,0,Mon,5
2:48:00 AM,89,0,0,Mon,0
2:50:00 AM,89,0,0,Mon,0
2:52:00 AM,89,0,0,Mon,0
2:54:00 AM,89,0,0,Mon,0
2:56:00 AM,89,0,0,Mon,0
2:58:00 AM,89,0,0,Mon,0
3:00:00 AM,89,0,0,Mon,0
3:02:00 AM,89,0,0,Mon,0
3:04:00 AM,89,82,1,Mon,0
3:06:00 AM,89,0,0,Mon,1
3:08:00 AM,89,76,1,Mon,0
3:10:00 AM,89,0,0,Mon,1
3:12:00 AM,89,67,3,Mon,0
3:14:00 AM,89,0,0,Mon,0
3:16:00 AM,89,0,0,Mon,0
3:18:00 AM,89,0,0,Mon,0
3:20:00 AM,89,0,0,Mon,1
3:22:00 AM,89,0,0,Mon,0
3:24:00 AM,89,0,0,Mon,0
3:26:00 AM,89,0,0,Mon,1
3:28:00 AM,89,71,1,Mon,0
3:30:00 AM,89,0,0,Mon,1
3:32:00 AM,89,0,0,Mon,1
3:34:00 AM,89,0,0,Mon,3
3:36:00 AM,89,0,0,Mon,1
3:38:00 AM,89,74,5,Mon,1
3:40:00 AM,89,71,1,Mon,1
3:42:00 AM,89,0,0,Mon,1
3:44:00 AM,89,0,0,Mon,0
3:46:00 AM,89,64,3,Mon,0
3:48:00 AM,89,0,0,Mon,0
3:50:00 AM,89,0,0,Mon,0
3:52:00 AM,89,0,0,Mon,0
3:54:00 AM,89,0,0,Mon,0
3:56:00 AM,89,0,0,Mon,0
3:58:00 AM,89,89,1,Mon,0
4:00:00 AM,89,73,3,Mon,0
4:02:00 AM,89,0,0,Mon,0
4:04:00 AM,89,82,1,Mon,1
4:06:00 AM,89,0,0,Mon,0
4:08:00 AM,89,0,0,Mon,1
4:10:00 AM,89,0,0,Mon,0
4:12:00 AM,89,62,1,Mon,3
4:14:00 AM,89,0,0,Mon,0
4:16:00 AM,89,78,5,Mon,0
4:18:00 AM,89,71,3,Mon,0
4:20:00 AM,89,76,1,Mon,0
4:22:00 AM,89,82,1,Mon,0
4:24:00 AM,89,71,1,Mon,0
4:26:00 AM,89,76,1,Mon,0
4:28:00 AM,89,59,1,Mon,1
4:30:00 AM,89,76,1,Mon,0
4:32:00 AM,89,65,3,Mon,0
4:34:00 AM,89,79,7,Mon,0
4:36:00 AM,89,62,1,Mon,0
4:38:00 AM,89,0,0,Mon,5
4:40:00 AM,89,0,0,Mon,1
4:42:00 AM,89,0,0,Mon,0
4:44:00 AM,89,71,1,Mon,0
4:46:00 AM,89,82,1,Mon,3
4:48:00 AM,89,76,1,Mon,0
4:50:00 AM,89,0,0,Mon,0
4:52:00 AM,89,0,0,Mon,0
4:54:00 AM,89,72,5,Mon,0
4:56:00 AM,89,0,0,Mon,0
4:58:00 AM,89,76,1,Mon,1
5:00:00 AM,89,0,0,Mon,3
5:02:00 AM,89,0,0,Mon,0
5:04:00 AM,89,76,1,Mon,1
5:06:00 AM,89,62,1,Mon,0
5:08:00 AM,89,0,0,Mon,0
5:10:00 AM,89,67,1,Mon,0
5:12:00 AM,89,0,0,Mon,1
5:14:00 AM,89,62,1,Mon,0
5:16:00 AM,89,89,1,Mon,5
5:18:00 AM,89,0,0,Mon,3
5:20:00 AM,89,76,3,Mon,1
5:22:00 AM,89,71,1,Mon,1
5:24:00 AM,89,89,1,Mon,1
5:26:00 AM,89,76,1,Mon,1
5:28:00 AM,89,71,1,Mon,1
5:30:00 AM,89,76,1,Mon,1
5:32:00 AM,89,0,0,Mon,3
5:34:00 AM,89,82,3,Mon,7
5:36:00 AM,89,56,1,Mon,1
5:38:00 AM,89,0,0,Mon,0
5:40:00 AM,89,82,1,Mon,0
5:42:00 AM,89,0,0,Mon,0
5:44:00 AM,89,59,1,Mon,1
5:46:00 AM,89,0,0,Mon,1
5:48:00 AM,89,0,0,Mon,1
5:50:00 AM,89,68,3,Mon,0
5:52:00 AM,89,71,1,Mon,0
5:54:00 AM,89,76,3,Mon,5
5:56:00 AM,89,0,0,Mon,0
5:58:00 AM,89,56,1,Mon,1
6:00:00 AM,89,0,0,Mon,0
6:02:00 AM,89,0,0,Mon,0
6:04:00 AM,89,0,0,Mon,1
6:06:00 AM,89,0,0,Mon,1
6:08:00 AM,89,0,0,Mon,0
6:10:00 AM,89,71,1,Mon,1
6:12:00 AM,89,0,0,Mon,0
6:14:00 AM,89,72,5,Mon,1
6:16:00 AM,89,82,1,Mon,1
6:18:00 AM,89,0,0,Mon,0
6:20:00 AM,89,0,0,Mon,3
6:22:00 AM,89,56,3,Mon,1
6:24:00 AM,89,0,0,Mon,1
6:26:00 AM,89,67,3,Mon,1
6:28:00 AM,89,56,5,Mon,1
6:30:00 AM,89,82,3,Mon,1
6:32:00 AM,89,70,9,Mon,0
6:34:00 AM,89,82,1,Mon,3
6:36:00 AM,89,71,1,Mon,1
6:38:00 AM,89,62,1,Mon,0
6:40:00 AM,89,89,1,Mon,1
6:42:00 AM,89,0,0,Mon,0
6:44:00 AM,89,67,1,Mon,1
6:46:00 AM,89,84,7,Mon,0
6:48:00 AM,89,89,1,Mon,0
6:50:00 AM,89,0,0,Mon,3
6:52:00 AM,89,56,1,Mon,1
6:54:00 AM,89,66,5,Mon,3
6:56:00 AM,89,0,0,Mon,0
6:58:00 AM,89,79,5,Mon,1
7:00:00 AM,89,68,3,Mon,0
7:02:00 AM,89,67,7,Mon,0
7:04:00 AM,89,68,3,Mon,0
7:06:00 AM,89,0,0,Mon,0
7:08:00 AM,89,0,0,Mon,0
7:10:00 AM,89,0,0,Mon,1
7:12:00 AM,89,80,5,Mon,0
7:14:00 AM,89,82,3,Mon,5
7:16:00 AM,89,76,3,Mon,1
7:18:00 AM,89,67,9,Mon,0
7:20:00 AM,89,70,5,Mon,0
7:22:00 AM,89,79,3,Mon,3
7:24:00 AM,89,67,3,Mon,0
7:26:00 AM,89,0,0,Mon,3
7:28:00 AM,89,73,5,Mon,5
7:30:00 AM,89,62,1,Mon,3
7:32:00 AM,89,63,3,Mon,9
7:34:00 AM,89,0,0,Mon,1
7:36:00 AM,89,76,1,Mon,1
7:38:00 AM,89,82,1,Mon,1
7:40:00 AM,89,0,0,Mon,1
7:42:00 AM,89,73,5,Mon,0
7:44:00 AM,89,82,3,Mon,1
7:46:00 AM,89,71,3,Mon,7
7:48:00 AM,89,78,7,Mon,1
7:50:00 AM,89,92,5,Mon,0
7:52:00 AM,89,89,1,Mon,1
7:54:00 AM,89,0,0,Mon,5
7:56:00 AM,89,60,9,Mon,0
7:58:00 AM,89,84,5,Mon,5
8:00:00 AM,89,79,3,Mon,3
8:02:00 AM,89,77,7,Mon,7
8:04:00 AM,89,62,1,Mon,3
8:06:00 AM,89,0,0,Mon,0
8:08:00 AM,89,64,3,Mon,0
8:10:00 AM,89,76,1,Mon,0
8:12:00 AM,89,70,7,Mon,5
8:14:00 AM,89,86,3,Mon,3
8:16:00 AM,89,65,3,Mon,3
8:18:00 AM,89,88,7,Mon,9
8:20:00 AM,89,62,1,Mon,5
8:22:00 AM,89,76,3,Mon,3
8:24:00 AM,89,69,3,Mon,3
8:26:00 AM,89,86,7,Mon,0
8:28:00 AM,89,76,10,Mon,5
8:30:00 AM,89,64,3,Mon,1
8:32:00 AM,89,69,9,Mon,3
8:34:00 AM,89,82,3,Mon,0
8:36:00 AM,89,73,16,Mon,1
8:38:00 AM,89,72,10,Mon,1
8:40:00 AM,89,78,5,Mon,0
8:42:00 AM,89,87,9,Mon,5
8:44:00 AM,89,82,3,Mon,3
8:46:00 AM,89,76,14,Mon,3
8:48:00 AM,89,77,7,Mon,7
8:50:00 AM,89,76,7,Mon,5
8:52:00 AM,89,91,3,Mon,1
8:54:00 AM,89,73,5,Mon,0
8:56:00 AM,89,59,16,Mon,9
8:58:00 AM,89,68,16,Mon,5
9:00:00 AM,89,81,12,Mon,3
9:02:00 AM,89,70,7,Mon,7
9:04:00 AM,89,64,5,Mon,1
9:06:00 AM,89,80,10,Mon,0
9:08:00 AM,89,91,9,Mon,3
9:10:00 AM,89,81,9,Mon,1
9:12:00 AM,89,72,7,Mon,7
9:14:00 AM,89,71,14,Mon,3
9:16:00 AM,89,67,3,Mon,3
9:18:00 AM,89,89,1,Mon,7
9:20:00 AM,89,72,14,Mon,1
9:22:00 AM,89,81,3,Mon,3
9:24:00 AM,89,74,14,Mon,3
